wavelength_A,flux
4452.4604,8.3564825
4453.485,5.2087083
4454.5093,7.2752986
4455.5366,7.756286
4456.5615,4.123131
4457.5894,5.0305505
4458.6147,4.83209
4459.643,4.9808345
4460.669,1.5439001
4461.695,3.482245
4462.7236,4.4921308
4463.7505,3.4437983
4464.78,4.55049
4465.8066,4.9266434
4466.837,6.270181
4467.8647,7.898162
4468.8926,6.0475116
4469.923,4.560454
4470.951,5.2164474
4471.9824,5.068215
4473.0107,4.7196283
4474.0425,5.118293
4475.072,6.083282
4476.101,6.6976895
4477.1333,3.5573304
4478.163,6.334008
4479.196,5.6070266
4480.2266,7.05795
4481.2593,4.0225945
4482.2905,2.5510387
4483.322,4.3093753
4484.3555,7.094588
4485.387,6.948478
4486.4214,5.737789
4487.4536,6.2125883
4488.4883,6.048036
4489.521,5.4204946
4490.5537,3.7610147
4491.5894,3.2570572
4492.6226,4.5356445
4493.658,8.3515005
4494.6924,5.480346
4495.7285,3.1802058
4496.7627,4.4300575
4497.8,4.1631246
4498.8345,4.2176223
4499.8696,2.5268357
4500.907,0.7377929
4501.9424,1.1128163
4502.9805,3.603753
4504.0166,5.336161
4505.055,3.389269
4506.092,3.730634
4507.1284,2.7879453
4508.1675,5.3150992
4509.2046,4.6799216
4510.2446,4.0536776
4511.282,2.8638291
4512.3223,5.3797574
4513.3604,5.5850296
4514.399,7.7201195
4515.4395,6.1657643
4516.4785,4.3049183
4517.52,6.299929
4518.559,7.6950774
4519.601,6.5763273
4520.641,6.293592
4521.6807,6.9552717
4522.7236,6.16406
4523.764,4.48446
4524.807,5.637244
4525.848,7.359887
4526.8916,6.217777
4527.933,5.7148857
4528.9746,7.0954084
4530.019,9.697649
4531.0615,8.733847
4532.106,5.289932
4533.149,5.7601194
4534.1943,6.580015
4535.2373,6.651824
4536.2803,7.533911
4537.3267,6.2693577
4538.37,6.330863
4539.417,6.9587765
4540.4614,4.794273
4541.5083,7.610382
4542.5527,7.71196
4543.598,6.3322873
4544.6455,5.618276
4545.6914,6.130155
4546.7393,8.503511
4547.7856,7.2856936
4548.834,6.399704
4549.8804,6.969775
4550.9272,6.2142615
4551.9766,6.037813
4553.024,7.9006953
4554.0737,9.030401
4555.1216,8.067388
4556.172,5.994115
4557.22,6.5776052
4558.2686,8.746441
4559.3193,6.006012
4560.368,7.198025
4561.42,6.7525826
4562.469,7.1075444
4563.5215,6.6123857
4564.5713,7.502616
4565.621,7.0728054
4566.6743,5.7857556
4567.7246,7.793017
4568.778,7.34788
4569.829,5.746634
4570.883,7.234206
4571.9346,7.1819067
4572.989,6.777119
4574.0405,5.365572
4575.093,7.1012883
4576.148,5.1825643
